Company/Brand,Founded,Headquarters,Industry,Industry Head,What it Does,Founder/s,Investor/s,Amount,Stage
mHealth,2020,New Delhi,"Health, Wellness & Fitness",Health,mHealth is AI based corporate wellness platform to spread happiness & well-being,"Rajesh Munjal, Balwinder Singh, Monika Garg",India Accelerator,,Seed
Visit Health,2015,New Delhi,"Health, Wellness & Fitness",Health,"Visit is a 360° integrated, highly engaging Health Benefits Platform- covering end to end health & wellness management.","Shashvat Tripathi, Anurag Prasad, Vaibhav Singh, Chetan Anand",Docprime Technologies,"$7,500,000",
VLCC Health Care,1989,Gurgaon,"Health, Wellness & Fitness",Health,VLCC is today widely recognized for its comprehensive portfolio of beauty and wellness products and services,Vandana Luthra,,"$4,000,000",
Fittr,2016,Pune,"Health, Wellness & Fitness",Health,"FITTR’s mission is to reach out to 50 million people and make them fit, create jobs in the fitness industry, teach people how easy it is to stay fit and move together as a Wolfpack.","Rohit Chattopadhyay, Jitendra Chouksey, Suniel Shetty, Sonal Singh, Bala Dabbedi","Dream Capital, Elysian Park Ventures","$11,000,000",Series A
Sanfe,2018,New Delhi,"Health, Wellness & Fitness",Health,India’s revolutionary feminine hygiene and period care brand that strives to build a better world for women.,"Archit Aggarwal, Harry Sehrawat","LetsVenture, Ajay Garg, Tarun Sharma","$1,000,000",Series A
Ayu Health,2019,Bangalore,"Health, Wellness & Fitness",Health,Ayu Health is a network of high quality hospitals focused on providing high quality healthcare for all.,"Himesh Joshi, Arijit Gupta, Karan Gupta","Vertex Ventures, Stellaris Venture Partners","$6,300,000",Series A
Nova Benefits,2020,Bangalore,"Health, Wellness & Fitness",Health,Nova Benefits is the one stop tech platform for providing the best health and wellness benefits to employees.,"Saransh Garg, Yash Gupta","Susquehanna International Group, Bessemer Venture Partners","$10,000,000",Series A
Biddano,2016,Pune,"Health, Wellness & Fitness",Health,India's first tech-enabled healthcare logistics platform.,"Talha Shaikh, Ashok Yadav","Gokul Rajaram, JPIN, Venture Catalysts UK, AngelList","$2,000,000",Pre-series A1
Cora Health,2020,Bangalore,"Health, Wellness & Fitness",Health,Social commerce marketplace for everyday health and wellness.,"Snigdha Kumar, Shrijit Venkatesh",Indian Angel Network,"$600,000",Seed
Mosaic Wellness,2019,Mumbai,"Health, Wellness & Fitness",Health,A platform of digital first health clinics for men and women,Dhyanesh Shah,Sequoia,"$24,000,000",Series A
Mindhouse,2019,Gurgaon,"Health, Wellness & Fitness",Health,Mindhouse is a Yoga & Nutrition driven personalized healthcare platform.,"Pooja Khanna, Pankaj Chaddah","Binny Bansal, General Catalyst","$6,000,000",Seed
Curefit,2016,Bangalore,"Health, Wellness & Fitness",Health,Tata Digital-backed Curefit,"Mukesh Bansal, Ankit",Zomato,"$145,000,000",
Plix,2018,Mumbai,"Health, Wellness & Fitness",Health,Plant-based nutraceutical firm,"Rishubh Satiya, Akash Zaveri","Guild Capital, RPSG Capital Ventures","$5,000,000",Series A
Fitpage,2020,Mumbai,"Health, Wellness & Fitness",Health,"An endurance-first fitness tech platform focussed on enabling you to learn, eat, work out and live better.",Vikas Singh,"Astra Ventures, Gaurav Jaitly","$300,000",
Sirona Hygiene,2015,New Delhi,"Health, Wellness & Fitness",Health,"An award-winning brand, committed to solving those Intimate & Menstrual Hygiene issues for women",Deep Bajaj,The Good Glamm Group,"$10,000,000",
Mamaearth,2016,Gurgaon,"Health, Wellness & Fitness",Health,Baby and mother care brand,"Ghazal, Varun Alagh",Sequoia,"$37,000,000",
Toothsi,2018,Mumbai,Healthcare,Health,ToothSi is a new age startup in the dental space providing smile correction services at home.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale",Think Investments,"$5,000,000",Series A
iMumz,2019,Bangalore,Healthcare,Health,"iMumz empowers pregnant mothers to deliver healthy, happy, and intelligent babies through a positive lifestyle.","Dr Jaideep Malhotra, Rajesh Jagasia, Ravi Teja Akondi, Mayur Dhurpate","Enzia Ventures, AngelList","$300,000",
Meddo,2018,Gurgaon,Healthcare,Health,Meddo is an end-to-end medical services provider,Saurabh Kochhar,"growX ventures, Venture Gurukool","$3,000,000",Pre-series A
Onelife,2019,Mumbai,Healthcare,Health,"Aspire to leverage the gifts of nature and science to help you make holistic lifestyle changes, with minimalistic effort, improving overall well-being.",Gaurav Aggarwal,Wipro venture capital arm,,
Remedico,2017,Hyderabad,Healthcare,Health,Remedico is a Mobile healthcare,Ranjit Bhatia,"Venture Catalysts, Tahseen Consulting","$500,000",
InnerHour,2016,Mumbai,Healthcare,Health,InnerHour is mental health and wellness platform that provides therapy and diagnostics services and conducts online mental health workshops.,Amit Malik,"Hitesh Oberoi, Lightbox","$5,200,000",Series A
Cancer Clinics,2014,Telungana,HealthCare,Health,"Cancer Helpline is a source of information and support, helping with all the things that people affected by cancer want and need.","Sonali Srungaram, Sasi Sunkara",Axilor,"$1,500,000",Pre-series A
HealthPlix,2014,Bangalore,HealthCare,Health,HealthPlix is a healthtech startup,"Raghuraj Sunder Raju, Sandeep Gudibanda","JSW Ventures, Kalaari Capital","$13,500,000",Series B
Juicy Chemistry,2014,Coimbatore,Healthcare,Health,Juicy Chemistry operates as an eponymous consumer brand.,"Megha, Pritesh Asher.",Akya Ventures,"$6,300,000",Series A
Max Healthcare,2000,New Delhi,Healthcare,Health,Max Healthcare is one of the leading chain of hospitals in India.,Analjit Singh,"Radiant Life Care Private Ltd, Life Healthcare","$140,000,000",
Onsurity,2020,Bangalore,HealthCare,Health,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,"Kulin Shah, Yogesh Agarwal","Jitendra Gupta, Harsh Shah",,
Plum,2019,Bangalore,HealthCare,Health,High quality health insurance and health benefits,"Abhishek Poddar, Saurabh Arora","Harsh Jain, Lalit Keshre","$15,000,000",Series A
ThatMate,2019,Maharashtra,HealthCare,Health,ThatMate is a sexual and mental wellness app for teens.,Nishant Neeraj,"Supriya Kumari, Premanshu Singh","$140,000",
MedTel Healthcare,2017,Orissia,HealthCare,Health,An aggregator for Digital Health Clinics in low resource settings.,"Ajit Choudhury, Lalit Ranjan Manik, Manish Kumar Swain, Shashank Singhal, Siba Prasad Panda",,"$5,000,000",Pre-series A
Sarathi,2020,Jodhpur,HealthCare,Health,"Offer a range of services like lab tests, consultation at home, nursing services, emergency services, and appointment management.",Aditi Poyam,,"$100,000",Seed
Breathe Well-being,2015,New Delhi,HealthCare,Health,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,"Aditya Kaicker, Rohan Verma","Stanford Angels and Entrepreneurs India, Anjali Bansal","$1,000,000",Pre-series A
Good Health Clinic,2021,Hyderabad,HealthCare,Health,Full Stack Digital Health Clinic,Samarth Sindhi,Khosla Ventures,"$5,000,000",
Onelife Nutriscience,2019,Mumbai,HealthCare,Health,Onelife Nutriscience is a consumer healthcare brands company.,Gaurav Aggarwal,Lasons India,,
Now&Me,2018,New Delhi,HealthCare,Health,"Now&Me is a safe cocoon in the form of discussion forums, for you to let out your most intimate thoughts.","Bani Singh, Drishti Gupta","Saama, Whiteboard Capital","$1,000,000",
Cora Health,2020,Bangalore,HealthCare,Health,Social Commerce Marketplace for health and wellness. Help people discover products suited to their health needs.,"Shrijit Venkatesh, Snigdha Kumar",,,
Wellbeing Nutrition,2019,Mumbai,HealthCare,Health,Organic whole food nutrition to keep up with the pace at which we live,Avnish Chhabria,Klub,,
Pee Safe,2013,Gurgaon,HealthCare,Health,Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria","Shaival Desai, Alkemi Venture Partners","$3,000,000",Pre-series B
Juicy chemistry,2014,Coimbatore,HealthCare,Health,Juicy Chemistry operates as an eponymous consumer brand.,"Megha, Pritesh Asher",Spring Marketing Capital,,
Answer Genomics,2019,Bangalore,HealthCare,Health,A healthcare company that uses genome-based data to help individuals make decisions.,Rahul Ranganathan,"India Accelerator, Lyxel&Flamingo",,
The Switch Fix,2019,Gurgaon,HealthCare,Health,The Switch Fix is a plant-based clean and conscious personal care brand for young urbans.,"Abhishek Kumar, Rhea Shukla","Venture Catalysts, 9Unicorns",,Seed
Synapsica,2017,New Delhi,HealthCare,Health,Artificial Intelligence tools to make quality diagnostic assessment available for all.,"Meenakshi Singh, Dr Cherian, Kuldeep Singh Chauhan","IvyCap Ventures, Endiya Partners","$4,000,000",Series A
Nobel Hygiene,1999,Mumbai,Healthcare,Health,"Nobel Hygiene is one of the leading disposable hygiene care products manufacturer in the country with an ISO 9001:2015 and CE certification, headquartered in Mumbai.",Johari Kamal,Quadria Capital,"$60,000,000",
Green Cure,2015,New Delhi,Healthcare,Health,World's first company to combine German Engineering with Indian Ayurveda in health products,Sanchit Garg,Venture Catalysts,,Pre-series A
Auric,2017,New Delhi,Healthcare,Health,Contemporary Beauty & Wellness Brand Based on Ayurveda,Deepak Agarwal,Venture Catalysts,"$2,000,000",Pre-series A
NIRAMAI,2016,Bangalore,Healthcare,Health,"NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix, i.e. machine intelligence over thermography images.",Geetha Manjunath,CDC Group,,
TABLT,2018,Kolkata,Healthcare,Health,TABLT [Previously Sabse Sasta Dukaan] is one of India's most trusted online pharmacy dealing in medicines and other healthcare products.,Anish Agarwal,Siti Cable,"$3,000,000",Seies A
Meddo,2018,Gurgaon,Healthcare,Health,Meddo (Arctern Healthcare) are re-defining how primary and secondary healthcare is provided in India through a connected care delivery platform.,"Saurabh Kochhar, Dr Naveen Nishchal","SRI Capital, Picus Capital, Alkemi Capital","$6,000,000",
I am Love,2020,Mumbai,Healthcare,Health,"I am Love came into existence in early 2020, with the aim of redefining the relationship we have with our health.",Shilpa Rathi,Xentel Investments,"$4,000,000",Seed
Mamaearth,2016,Gurgaon,Healthcare,Health,A brand which develops products from world-class research and attempts to solve every little problem that we as parents face.,"Varun Alagh, Ghazal Alagh",Sofina Ventures SA,"$50,000,000",
Dozee,2015,Bangalore,Healthcare,Health,"Dozee is India's only contactless health monitor that silently tracks your heart, respiration, sleep patterns, stress levels, cardiac contractions, apnea and more while you sleep.","Mudit Dandwate, Dandwate",Prime VP,"$5,000,000",Series A
NirogStreet,2018,New Delhi,Healthcare,Health,Nirogstreet as a concept is working to make #Ayurveda first call of treatment.,Ram N Kumar,"Gokul Rajaram, Pureland Venture, Wavemaker Partners","$2,500,000",Series A
Even,2020,Bangalore,Healthcare,Health,One monthly subscription to cover all your healthcare needs.,"Mayank Banerjee, Matilde Giglio, Alessandro Davide Ialongo",Khosla Ventures,"$5,000,000",Seed
Eka.care,2020,Bangalore,Healthcare,Health,A digitally enabled and connected healthcare ecosystem for better health outcomes.,Vikalp Sahni,"Deep Kalra, Ashish Kashyap, Rajesh Magow","$4,500,000",
Uvi Health,2020,Bangalore,Healthcare,Health,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,Mehak Malik,Titan Capital,"$330,000",Pre-seed
HealthifyMe,2012,Bangalore,Healthcare,Health,HealthifyMe is a revolutionary health and fitness application that is on a mission to transform a billion lives!,"Tushar Vashisht, Sachin Shenoy","LeapFrog, Khosla Ventures","$75,000,000",Series C
Bella Vita Organic,2018,Gurgaon,Healthcare,Health,Bella Vita Organic or ‘The Good Life’ is dedicated to creating handcrafted and organic beauty solutions inspired by the natural elements of the earth and age old beauty best practices.,Aakash Anand,Ananta Capital,"$10,000,000",
NirogGyan,2019,Gurgaon,Healthcare,Health,"Simplifying Diagnostics for labs, doctors, and people.","Joyneel Acharya, Shweta Gandhi","Healthcare veterans, PIEDS",,Seed
EasyAspataal,2020,Mumbai,Healthcare,Health,India’s First Digital Admission Desk for Hospitalisation.,"Manoj Gupta, Gunjali Kothari",Venture Catalysts,"$500,000",Seed
Arcatron Mobility,2015,Pune,Healthcare,Health,Mission is to advance global standards of assisted living and make it dignified and safer.,Ganesh Sonawane,Klub,,
Genworks Health,2015,Bangalore,Healthcare,Health,GENWORKS Health is an initiative by GE for empowering healthcare professionals operating in the rural areas to deliver better medical facilities and diagnostics while keeping things affordable.,S Ganeshprasad,Blacksoil,"$2,000,000",
BeatO,2015,New Delhi,Healthcare,Health,ULTIMATE app to manage chronic conditions.,Gautam Chopra,W Health Ventures,"$5,000,000",Pre-series B
Elda Health,2020,Bangalore,Healthcare,Health,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures","$1,500,000",
Elda Health,2020,Bangalore,Healthcare,Health,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures","$1,500,000",Seed
Ultrahuman,2020,Bangalore,Healthcare,Health,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,"Mohit Kumar, Vatsal Singhal",Tiger Global’s Scott Schleifer,"$17,500,000",
Onsurity,2020,Bangalore,Healthcare,Health,"Onsurity is a HealthTech & Employee Benefits organization, disrupting the SME and startup healthcare market with technology and innovation!","Yogesh Agarwal, Kulin Shah",Nexus Venture Partners,"$16,000,000",Series A
AyuRythm,2017,Bangalore,Healthcare,Health,AyuRythm is the world's first completely digital solution for personalized holistic wellness based on Ayurvedic principles.,Abhilesh Gupta,SucSEED Indovation Fund,,Seed
MedPrime Technologies,2014,Thane,Healthcare,Health,"MedPrime Technologies is a medical device company, dedicated to developing the best, customer-centric solutions for the healthcare needs of the world.","Samrat, Greeshma Unnikrishnan, Binil Jacob, Mahesh Kumar Rathor","Mumbai Angels Network, Social Alpha",,Seed
Saveo,2019,Bangalore,HealthTech,Health,Saveo operates a business-to-business e-commerce platform focused on pharmacies.,"Amit Kumar, Anurag Savarnya, Shivansh Shrivastava, Vivek Jaiswal","Matrix Partners India, RTP Global","$4,000,000",Seed
Phable,2017,Bangalore,HealthTech,Health,Mobile App for Patients and Doctors,"Mukesh Bansal, Prasanth Reddy, Sumit Sinha","Fresco Capital, Social Starts","$12,000,000",Series A
Zingavita,2020,Chandigarh,HealthTech,Health,"Explore a range of kids nutrition supplements formulated using highest quality ingredients, that are Deliciously Healthy and super fun to consume.","Rohit Anand, Sachin Goel",Anicut Angel Fund,"$400,000",
Maya,2016,Bangalore,HealthTech,Health,Maya enables women to keep track of their health via a mobile application.,John Paul,Rajan Anadan,"$2,200,000",Seed
MediBuddy,2000,Bangalore,HealthTech,Health,MediBuddy is a Trusted Digital Platform for Cashless Healthcare. MediBuddy connects patients with doctors and hospitals.,"atish Kannan, Enbasekar","IDFC Private Equity, Bessemer Venture Partners","$40,000,000",Series B
